/* DATA DESCRIPTION:
Citation:	Anderson, Harris J; Pedro, Joel B; Bostock, Helen C; Chase, Zanna; Noble, Taryn L (2020): Recalibrated age model and sea surface temperatures from alkenone measurements of sediment core MD97-2120 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.912128, 
	In: Anderson, HJ et al. (2020): 14 Southern Ocean Sea Surface Temperature records recalibrated to MARINE20 and tied to the AICC2012 Timescale, Southern Ocean Sea Surface Temperature Anomaly Stacks [dataset bundled publication]. PANGAEA, https://doi.org/10.1594/PANGAEA.912146
Keyword(s):	AIM; Compilation; Marine Isotope Stage 3; MIS-3; Sea surface temperature; SST; SST Stack; Stack
Related to:	Anderson, Harris J; Pedro, Joel B; Bostock, Helen C; Chase, Zanna; Noble, Taryn L (2021): Compiled Southern Ocean sea surface temperatures correlate with Antarctic Isotope Maxima. Quaternary Science Reviews, 255, 106821, https://doi.org/10.1016/j.quascirev.2021.106821
Further details:	Jouzel, Jean; Masson-Delmotte, Valerie; Cattani, Olivier; Dreyfus, Gabrielle; Falourd, Sonia; Hoffmann, G; Minster, Bénédicte; Nouet, Julius; Barnola, Jean-Marc; Chappellaz, Jérôme A; Fischer, Hubertus; Gallet, J C; Johnsen, Sigfús Jóhann; Leuenberger, Markus Christian; Loulergue, Laetitia; Luethi, D; Oerter, Hans; Parrenin, Frédéric; Raisbeck, Grant M; Raynaud, Dominique; Schilt, Adrian; Schwander, Jakob; Selmo, Enricomaria; Souchez, Roland A; Spahni, Renato; Stauffer, Bernhard; Steffensen, Jørgen Peder; Stenni, Barbara; Stocker, Thomas F; Tison, Jean-Louis; Werner, Martin; Wolff, Eric William (2007): Orbital and millennial Antarctic climate variability over the past 800,000 years. Science, 317(5839), 793-797, https://doi.org/10.1126/science.1141038
	Pahnke, Katharina; Zahn, Rainer; Elderfield, Henry; Schulz, Michael (2003): 340,000-Year Centennial-Scale Marine Record of Southern Hemisphere. Science, 301(5635), 948-952, https://doi.org/10.1126/science.1084451
	Veres, Daniel; Bazin, Lucie; Landais, Amaëlle; Toyé Mahamadou Kele, H; Lemieux-Dudon, Bénédicte; Parrenin, Frédéric; Martinerie, Patricia; Blayo, Eric; Blunier, Thomas; Capron, Emilie; Chappellaz, Jérôme A; Rasmussen, Sune Olander; Severi, Mirko; Svensson, Anders M; Vinther, Bo Møllesøe; Wolff, Eric William (2013): The Antarctic ice core chronology (AICC2012): an optimized multi-parameter and multi-site dating approach for the last 120 thousand years. Climate of the Past, 9(4), 1733-1748, https://doi.org/10.5194/cp-9-1733-2013
Coverage:	LATITUDE: -45.534333 * LONGITUDE: 174.930833
	DATE/TIME START: 1997-05-20T11:11:00 * DATE/TIME END: 1997-05-20T11:11:00
	MINIMUM DEPTH, sediment/rock: 0.230 m * MAXIMUM DEPTH, sediment/rock: 19.290 m
Event(s):	MD97-2120 (MD972120) * LATITUDE: -45.534333 * LONGITUDE: 174.930833 * DATE/TIME: 1997-05-20T11:11:00 * ELEVATION: -1210.0 m * Recovery: 36.4 m * LOCATION: Chatham Rise * CAMPAIGN: MD106 (IMAGES III - IPHIS) (URI: http://www.ifremer.fr/sismer/UK/catal/campagne/campagnea.htql?crno=97200010) * BASIS: Marion Dufresne (1995) (URI: https://en.wikipedia.org/wiki/Marion_Dufresne_(1994)) * METHOD/DEVICE: Calypso Corer (CALYPSO)
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Anderson, Harris J (https://orcid.org/0000-0001-7023-0344, harris.anderson@utas.edu.au)
	Age model [ka] (Age model) * PI: Anderson, Harris J (https://orcid.org/0000-0001-7023-0344, harris.anderson@utas.edu.au) * COMMENT: original age model
	Age model [ka] (Age model) * PI: Anderson, Harris J (https://orcid.org/0000-0001-7023-0344, harris.anderson@utas.edu.au) * METHOD/DEVICE: Antarctic ice core chronology (AICC2012) (URI: https://doi.org/10.5194/cp-9-1733-2013) * COMMENT: AICC2012-Tuned Age Model
	Standard error [±] (Std e) * PI: Anderson, Harris J (https://orcid.org/0000-0001-7023-0344, harris.anderson@utas.edu.au) * METHOD/DEVICE: Antarctic ice core chronology (AICC2012) (URI: https://doi.org/10.5194/cp-9-1733-2013) * COMMENT: AICC2012-tuned error
	Age model [ka] (Age model) * PI: Anderson, Harris J (https://orcid.org/0000-0001-7023-0344, harris.anderson@utas.edu.au) * METHOD/DEVICE: Antarctic Isotope Maxima (AIM) (URI: https://doi.org/10.5194/cp-9-1733-2013) * COMMENT: AIM-tuned age model
	Standard error [±] (Std e) * PI: Anderson, Harris J (https://orcid.org/0000-0001-7023-0344, harris.anderson@utas.edu.au) * METHOD/DEVICE: Antarctic Isotope Maxima (AIM) (URI: https://doi.org/10.5194/cp-9-1733-2013) * COMMENT: AIM-tuned error
	Sea surface temperature [°C] (SST) * PI: Anderson, Harris J (https://orcid.org/0000-0001-7023-0344, harris.anderson@utas.edu.au) * METHOD/DEVICE: SST calculated from alkenones
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Size:	3240 data points
*/
Depth sed [m]	Age model [ka] (original age model)	Age model [ka] (AICC2012-Tuned Age Model, Ant...)	Std e [±] (AICC2012-tuned error, Antarct...)	Age model [ka] (AIM-tuned age model, Antarcti...)	Std e [±] (AIM-tuned error, Antarctic Is...)	SST [°C] (SST calculated from alkenones)
7.090	42.33	43.63	9.64	43.39	2.12	10.71
7.110	42.51	43.85	9.69	43.58	2.08	10.92
7.130	42.69	44.06	9.77	43.76	2.10	11.02
7.150	42.87	44.28	9.81	43.95	2.14	10.86
7.170	43.05	44.49	9.84	44.13	2.21	10.82
7.190	43.23	44.71	9.90	44.30	2.28	10.56
7.210	43.40	44.92	9.92	44.46	2.31	10.60
7.230	43.58	45.14	9.91	44.62	2.33	10.77
7.250	43.76	45.36	9.93	44.78	2.33	10.81
7.270	43.94	45.57	9.95	44.94	2.31	11.18
7.290	44.12	45.79	9.97	45.12	2.29	10.68
7.310	44.29	46.01	9.95	45.30	2.24	10.35
7.330	44.47	46.22	9.94	45.49	2.21	10.29
7.350	44.65	46.44	9.93	45.67	2.20	10.20
7.370	44.83	46.65	9.88	45.86	2.25	11.33
7.390	44.97	46.87	9.84	46.05	2.34	11.35
7.410	45.11	47.08	9.81	46.26	2.41	11.43
7.430	45.26	47.29	9.78	46.49	2.43	11.01
7.450	45.40	47.51	9.76	46.73	2.44	10.78
7.470	45.54	47.72	9.69	46.98	2.50	10.83
7.490	45.68	47.93	9.65	47.22	2.60	10.97
7.510	45.83	48.15	9.60	47.46	2.74	10.85
7.530	45.97	48.36	9.49	47.69	2.88	10.66
7.550	46.11	48.58	9.42	47.93	3.08	10.79
7.570	46.26	48.79	9.36	48.16	3.32	10.43
7.590	46.40	49.01	9.24	48.40	3.52	9.72
7.610	46.54	49.22	9.13	48.63	3.74	10.58
7.630	46.68	49.44	9.02	48.85	3.96	10.81
7.650	46.83	49.66	8.86	49.09	4.18	10.51
7.670	46.97	49.87	8.73	49.31	4.39	10.43
7.710	47.25	50.30	8.34	49.77	4.73	10.85
7.730	47.40	50.51	8.16	50.00	4.85	10.09
7.750	47.54	50.72	7.96	50.23	4.93	10.54
7.790	48.14	51.16	7.55	50.68	5.05	10.22
7.810	48.44	51.37	7.34	50.91	5.08	10.67
7.830	48.74	51.59	7.12	51.15	5.08	10.68
7.850	49.05	51.81	6.89	51.37	5.10	10.84
7.870	49.35	52.03	6.64	51.60	5.11	10.48
7.890	49.65	52.24	6.41	51.84	5.12	10.88
7.910	49.95	52.46	6.15	52.07	5.12	11.09
7.930	50.25	52.67	5.92	52.31	5.08	11.84
7.950	50.55	52.87	5.69	52.54	5.04	10.95
7.970	50.85	53.10	5.48	52.77	4.97	10.81
7.990	51.16	53.31	5.27	53.01	4.91	11.15
8.010	51.46	53.53	5.07	53.24	4.79	11.47
8.030	51.76	53.75	4.86	53.48	4.70	11.21
8.050	52.06	53.96	4.66	53.72	4.63	11.42
8.070	52.36	54.17	4.45	53.95	4.47	11.63
8.090	52.66	54.39	4.29	54.19	4.30	11.78
8.110	52.96	54.60	4.13	54.43	4.14	11.96
8.130	53.27	54.81	3.97	54.66	3.99	12.00
8.150	53.57	55.03	3.81	54.90	3.85	12.04
8.170	53.87	55.24	3.70	55.13	3.72	11.84
8.230	54.77	55.88	3.44	55.81	3.48	11.87
8.250	55.07	56.09	3.34	56.04	3.35	11.76
8.270	55.38	56.29	3.20	56.25	3.25	11.69
8.290	55.68	56.49	3.11	56.46	3.15	11.82
8.310	55.98	56.68	3.00	56.66	3.03	12.76
8.330	56.12	56.85	2.94	56.85	2.96	12.62
8.350	56.26	57.03	2.90	57.02	2.91	11.90
8.370	56.40	57.20	2.86	57.19	2.87	12.20
8.390	56.54	57.36	2.86	57.35	2.88	12.32
8.410	56.68	57.51	2.90	57.51	2.92	12.32
8.430	56.82	57.66	2.94	57.66	2.98	12.10
8.450	56.96	57.82	3.00	57.81	3.03	11.86
8.470	57.10	57.98	3.05	57.97	3.10	12.52
8.490	57.24	58.14	3.13	58.12	3.17	12.10
8.510	57.38	58.29	3.24	58.27	3.28	12.32
8.530	57.52	58.44	3.35	58.43	3.36	12.19
8.570	57.80	58.75	3.59	58.73	3.59	12.34
8.590	57.94	58.90	3.71	58.88	3.71	12.16
8.630	58.22	59.21	4.02	59.19	3.98	12.97
8.650	58.37	59.36	4.17	59.35	4.13	12.62
8.670	58.51	59.51	4.35	59.50	4.26	13.13
8.690	58.65	59.66	4.52	59.66	4.41	13.25
8.710	58.79	59.81	4.67	59.81	4.58	13.20
8.730	58.93	59.97	4.85	59.96	4.73	13.40
8.750	59.07	60.12	4.99	60.11	4.93	13.55
8.770	59.21	60.27	5.14	60.26	5.08	13.14
8.790	59.35	60.42	5.29	60.41	5.24	13.80
8.810	59.49	60.57	5.44	60.56	5.38	13.07
8.830	59.63	60.73	5.60	60.71	5.54	13.20
8.850	59.77	60.88	5.68	60.87	5.72	13.86
8.870	59.91	61.03	5.83	61.02	5.86	13.07
8.890	60.05	61.19	5.97	61.17	5.96	12.80
8.910	60.19	61.34	6.07	61.32	6.09	13.27
8.930	60.33	61.49	6.13	61.48	6.17	12.52
8.950	60.47	61.64	6.22	61.63	6.26	13.39
8.970	60.61	61.80	6.30	61.78	6.31	13.36
8.990	60.75	61.95	6.38	61.93	6.38	12.88
9.010	60.89	62.10	6.45	62.09	6.46	13.74
9.030	61.03	62.25	6.48	62.25	6.51	12.21
9.050	61.17	62.41	6.55	62.40	6.56	14.80
9.070	61.31	62.56	6.57	62.55	6.63	13.46
9.090	61.45	62.71	6.61	62.71	6.67	12.32
9.110	61.60	62.86	6.63	62.86	6.69	12.17
9.130	61.74	63.02	6.67	63.01	6.74	12.72
9.150	61.88	63.16	6.69	63.17	6.75	13.65
9.170	62.02	63.31	6.72	63.32	6.77	12.56
9.190	62.16	63.47	6.75	63.47	6.79	12.78
9.210	62.30	63.62	6.75	63.62	6.78	14.07
9.230	62.44	63.77	6.75	63.78	6.78	12.35
9.250	62.58	63.93	6.77	63.93	6.76	12.81
9.270	62.72	64.08	6.76	64.09	6.76	12.97
9.290	62.86	64.23	6.73	64.24	6.76	12.50
9.310	63.00	64.38	6.73	64.39	6.74	12.57
9.330	63.14	64.54	6.70	64.55	6.71	12.49
9.350	63.28	64.70	6.65	64.70	6.70	12.51
9.370	63.42	64.85	6.63	64.85	6.68	12.50
9.390	63.56	65.00	6.59	65.00	6.66	12.54
9.430	63.84	65.31	6.51	65.31	6.56	12.32
9.490	64.26	65.77	6.40	65.76	6.41	12.29
9.530	64.54	66.08	6.25	66.06	6.26	12.10
9.570	64.82	66.39	6.07	66.36	6.06	12.89
9.610	65.11	66.70	5.86	66.67	5.88	12.12
9.630	65.25	66.85	5.71	66.83	5.77	12.17
9.650	65.39	67.00	5.57	66.98	5.65	12.97
9.670	65.53	67.15	5.44	67.13	5.50	12.44
9.690	65.67	67.30	5.28	67.28	5.35	14.09
9.710	65.81	67.46	5.12	67.44	5.19	12.91
9.730	65.95	67.61	4.99	67.59	5.01	12.95
9.750	66.09	67.76	4.81	67.74	4.83	12.62
9.770	66.23	67.92	4.63	67.90	4.65	12.66
9.790	66.37	68.07	4.46	68.05	4.49	11.25
9.810	66.51	68.22	4.31	68.21	4.33	12.20
9.850	66.79	68.53	4.01	68.52	3.97	12.30
9.870	66.93	68.68	3.82	68.67	3.80	11.33
9.890	67.07	68.84	3.65	68.82	3.64	10.98
9.910	67.21	68.99	3.49	68.97	3.50	11.30
9.930	67.35	69.15	3.34	69.13	3.34	11.00
9.950	67.49	69.30	3.19	69.28	3.20	11.42
9.970	67.63	69.45	3.05	69.44	3.07	10.85
9.990	67.77	69.61	2.93	69.59	2.94	11.05
10.010	67.91	69.76	2.78	69.75	2.80	11.02
10.030	68.05	69.90	2.66	69.90	2.68	11.74
10.050	68.20	70.06	2.54	70.05	2.57	11.98
10.070	68.34	70.21	2.45	70.21	2.46	11.50
10.090	68.48	70.36	2.36	70.36	2.36	11.01
10.110	68.62	70.51	2.29	70.51	2.30	10.53
10.130	68.76	70.66	2.26	70.66	2.24	10.77
10.150	68.90	70.81	2.25	70.82	2.19	11.26
10.170	69.04	70.96	2.26	70.97	2.20	11.26
10.190	69.18	71.12	2.27	71.12	2.22	11.26
10.210	69.32	71.28	2.32	71.28	2.26	11.26
10.230	69.46					11.26
10.250	69.60					10.77
10.270	69.74					10.53
10.290	69.88					11.26
10.310	70.02					11.26
10.330	70.16					11.50
10.350	70.30					11.50
10.370	70.44					11.26
10.390	70.58					11.01
10.410	70.72					11.01
10.430	70.86					10.97
10.450	71.00					10.76
10.470	71.14					10.17
10.510	71.42					10.08
10.530	71.57					10.04
10.550	71.71					9.83
10.570	71.85					10.36
10.590	71.99					10.85
10.610	72.13					11.44
10.630	72.30					11.81
10.650	72.47					11.78
10.670	72.63					11.53
10.690	72.80					11.87
10.710	72.97					11.73
10.730	73.14					11.19
10.750	73.31					10.98
10.770	73.48					10.98
10.790	73.65					11.04
10.810	73.82					10.82
10.830	73.99					11.12
10.850	74.16					11.37
10.870	74.33					11.21
10.890	74.50					11.38
10.910	74.67					11.37
10.930	74.84					11.55
10.950	75.01					11.77
10.970	75.17					11.95
10.990	75.34					11.59
11.010	75.51					11.80
11.030	75.68					12.00
11.050	75.85					11.80
11.070	76.02					12.10
11.090	76.19					11.69
11.110	76.36					11.80
11.130	76.53					11.85
11.150	76.70					11.88
11.170	76.87					11.69
11.190	77.04					11.64
11.210	77.21					11.62
11.230	77.38					11.65
11.250	77.54					11.71
11.270	77.71					11.75
11.290	77.88					11.59
11.310	78.05					11.50
11.330	78.22					11.66
11.350	78.39					11.91
11.370	78.56					11.66
11.390	78.73					11.64
11.410	78.90					12.07
11.430	79.07					12.03
11.450	79.24					12.43
11.470	79.41					12.22
11.490	79.58					12.64
11.510	79.75					12.77
11.530	79.91					12.83
11.550	80.08					12.74
11.570	80.25					13.16
11.590	80.42					13.38
11.630	80.76					13.72
11.670	81.10					13.90
11.710	81.44					14.13
11.750	81.78					14.40
11.790	82.12					14.23
11.830	82.45					14.41
11.870	82.79					14.19
11.910	83.13					14.14
11.950	83.47					14.18
12.030	84.15					14.44
12.070	84.49					13.63
12.110	84.82					13.52
12.150	85.16					13.38
12.190	85.50					13.11
12.230	85.84					12.95
12.270	86.18					12.55
12.330	86.69					11.94
12.390	87.19					11.22
12.450	87.70					10.98
12.510	88.21					11.37
12.570	88.72					11.51
12.630	89.23					11.11
12.690	89.73					10.81
12.750	90.24					10.31
12.810	90.75					10.53
12.870	91.26					10.68
12.930	91.76					10.52
12.990	92.27					10.45
13.050	92.78					10.87
13.110	93.29					11.50
13.170	93.80					11.02
13.230	94.30					10.72
13.290	94.81					11.23
13.350	95.32					10.78
13.410	95.83					11.16
13.550	97.01					13.90
13.610	97.52					12.06
13.670	98.03					12.28
13.730	98.54					12.71
13.770	98.88					12.79
13.830	99.38					13.25
13.890	99.89					13.40
13.950	100.40					13.09
14.010	100.91					12.57
14.050	101.25					12.92
14.090	101.58					12.42
14.130	101.92					13.05
14.170	102.26					13.25
14.210	102.60					14.77
14.250	102.94					13.11
14.290	103.28					13.87
14.330	103.62					13.70
14.370	103.95					13.55
14.410	104.29					13.68
14.450	104.63					13.23
14.490	104.97					13.33
14.530	105.44					13.14
14.570	106.04					13.05
14.610	106.65					12.61
14.650	107.25					11.63
14.670	107.55					11.35
14.690	107.85					11.69
14.710	108.15					11.32
14.730	108.46					11.77
14.750	108.76					12.18
14.770	109.06					11.27
14.790	109.36					11.36
14.810	109.66					11.41
14.830	109.96					11.69
14.850	110.26					11.58
14.870	110.57					11.42
14.890	110.87					11.27
14.910	111.17					11.61
14.930	111.47					11.56
14.950	111.77					11.53
14.970	112.07					11.38
14.990	112.37					12.02
15.010	112.68					11.49
15.030	112.98					11.63
15.050	113.28					11.63
15.070	113.58					12.25
15.090	113.88					12.85
15.110	114.18					13.04
15.130	114.48					13.51
15.150	114.79					14.02
15.170	115.09					14.37
15.190	115.39					14.54
15.210	115.69					14.65
15.230	115.99					14.97
15.250	116.29					14.82
15.270	116.59					14.72
15.290	116.90					14.41
15.310	117.20					14.62
15.330	117.50					14.84
15.350	117.80					15.19
15.370	118.10					14.90
15.390	118.40					15.30
15.410	118.70					15.21
15.430	119.01					14.82
15.450	119.31					14.77
15.470	119.61					15.39
15.490	119.91					14.91
15.510	120.21					15.10
15.530	120.51					15.21
15.550	120.81					15.52
15.570	121.12					15.66
15.590	121.42					15.63
15.610	121.72					15.68
15.630	122.02					15.67
15.650	122.32					15.84
15.670	122.62					15.94
15.690	122.92					16.92
15.710	123.23					16.44
15.730	123.53					16.59
15.750	123.83					16.57
15.770	124.13					16.69
15.790	124.43					16.92
15.810	124.73					16.84
15.830	125.03					17.37
15.850	125.34					17.65
15.870	125.64					17.60
15.890	125.94					17.60
15.910	126.24					16.74
15.950	126.84					17.76
15.970	127.14					17.41
16.010	127.75					17.28
16.030	128.05					17.03
16.050	128.35					16.71
16.070	128.65					16.36
16.090	128.95					16.39
16.110	129.25					16.15
16.130	129.56					15.90
16.150	129.86					15.65
16.170	130.16					14.79
16.190	130.46					14.93
16.210	130.76					14.38
16.230	131.06					14.32
16.250	131.36					14.21
16.270	131.67					14.17
16.290	131.97					13.90
16.310	132.27					13.76
16.330	132.57					13.44
16.350	132.87					14.04
16.370	133.17					13.38
16.630	136.19					12.60
16.650	136.34					12.12
16.670	136.50					12.22
16.690	136.65					12.04
16.710	136.80					12.13
16.730	136.95					12.37
16.750	137.10					12.07
16.770	137.25					12.00
16.790	137.41					11.16
16.810	137.56					11.78
16.830	137.71					11.60
16.850	137.86					11.25
16.910	138.32					11.79
16.970	138.77					11.72
17.030	139.23					11.54
17.090	139.68					11.78
17.150	140.14					12.25
17.210	140.59					12.41
17.270	141.04					12.62
17.330	141.50					12.77
17.390	141.95					12.45
17.450	142.41					12.13
17.510	142.86					12.13
17.570	143.32					12.28
17.630	143.77					12.22
17.690	144.23					13.00
17.750	144.68					13.52
17.810	145.14					12.83
17.870	145.59					12.22
17.930	146.05					12.59
17.970	146.35					12.66
18.090	147.26					13.09
18.150	147.72					13.33
18.230	148.32					13.42
18.270	148.63					13.59
18.330	149.08					13.29
18.390	149.54					13.25
18.450	149.99					13.63
18.510	150.45					13.48
18.550	150.75					13.17
18.590	151.05					12.99
18.630	151.36					12.59
18.670	151.66					12.69
18.710	151.96					12.55
18.750	152.27					12.74
18.810	152.72					12.81
18.870	153.18					12.53
18.910	153.48					12.50
18.950	153.78					12.63
18.970	153.93					12.93
19.010	154.24					11.14
19.050	154.54					11.73
19.090	154.84					13.04
19.130	155.15					11.57
19.170	155.45					11.46
19.210	155.75					11.66
19.250	156.06					11.68
19.290	156.36					11.51
